Name,Link
🔷 Youtube,
1. How does the Internet Work?,1. http://youtube.com/watch?v=UXsomnDkntI 2.https://youtu.be/e4S8zfLdLgQ   3. https://youtu.be/FTAPjr7vgxE
2. What is HTTP?,http://youtube.com/watch?v=4_-KdOLZWLs
3.HTTP Crash Course,https://youtu.be/iYM2zFP3Zn0
4. How do Browsers Work?,http://youtube.com/watch?v=0IsQqJ7pwhw
5. What is Domain?,http://youtube.com/watch?v=Y4cRx19nhJk
6. What is Hosting?,http://youtube.com/watch?v=0hGK7qiQ6WA
7. DNS and How it Works?,http://youtube.com/watch?v=mpQZVYPuDGU
8. Computer Networking playlist.,https://youtube.com/playlist?list=PL6gx4Cwl9DGBpuvPW0aHa7mKdn_k9SPKO
9. Crash Course Computer Science,https://youtube.com/playlist?list=PLME-KWdxI8dcaHSzzRsNuOLXtM2Ep_C7a
10. Website,https://web.stanford.edu/class/msande91si/www-spr04/readings/week1/InternetWhitepaper.htm